state,date,sex,age,abs,rate
Kelantan,2020-01-01,female,45-49,253,41.9
Kelantan,2020-01-01,female,50-54,215,25.9
Kelantan,2020-01-01,female,55-59,108,9.8
Kelantan,2020-01-01,female,60-64,72,5.2
Kelantan,2020-01-01,female,65+,58,1.3
Kelantan,2020-01-01,male,all,13984,24.3
Kelantan,2020-01-01,male,< 20,282,0.7
Kelantan,2020-01-01,male,20-24,2979,36.3
Kelantan,2020-01-01,male,25-29,6270,108.4
Kelantan,2020-01-01,male,30-34,2257,114.2
Kelantan,2020-01-01,male,35-39,817,83.9
Kelantan,2020-01-01,male,40-44,402,92.8
Kelantan,2020-01-01,male,45-49,266,106.7
Kelantan,2020-01-01,male,50-54,184,80.5
Kelantan,2020-01-01,male,55-59,182,80.3
Kelantan,2020-01-01,male,60-64,129,49.9
Kelantan,2020-01-01,male,65+,216,21.0
Kelantan,2021-01-01,female,all,19912,35.4
Kelantan,2021-01-01,female,< 20,1210,3.3
Kelantan,2021-01-01,female,20-24,6636,105.8
Kelantan,2021-01-01,female,25-29,7941,244.0
Kelantan,2021-01-01,female,30-34,2013,233.0
Kelantan,2021-01-01,female,35-39,859,155.1
Kelantan,2021-01-01,female,40-44,458,89.9
Kelantan,2021-01-01,female,45-49,298,48.1
Kelantan,2021-01-01,female,50-54,198,23.2
Kelantan,2021-01-01,female,55-59,158,14.0
Kelantan,2021-01-01,female,60-64,81,5.7
Kelantan,2021-01-01,female,65+,60,1.3
Kelantan,2021-01-01,male,all,22347,38.8
Kelantan,2021-01-01,male,< 20,328,0.9
Kelantan,2021-01-01,male,20-24,4812,58.5
Kelantan,2021-01-01,male,25-29,10428,179.8
Kelantan,2021-01-01,male,30-34,3632,183.3
Kelantan,2021-01-01,male,35-39,1323,135.6
Kelantan,2021-01-01,male,40-44,595,137.0
Kelantan,2021-01-01,male,45-49,348,139.2
Kelantan,2021-01-01,male,50-54,277,120.9
Kelantan,2021-01-01,male,55-59,185,81.4
Kelantan,2021-01-01,male,60-64,173,66.7
Kelantan,2021-01-01,male,65+,246,23.8
Kelantan,2022-01-01,female,all,18297,32.3
Kelantan,2022-01-01,female,< 20,1075,2.9
Kelantan,2022-01-01,female,20-24,5615,89.0
Kelantan,2022-01-01,female,25-29,7041,215.1
Kelantan,2022-01-01,female,30-34,2095,241.1
Kelantan,2022-01-01,female,35-39,945,169.7
Kelantan,2022-01-01,female,40-44,515,100.5
Kelantan,2022-01-01,female,45-49,395,63.4
Kelantan,2022-01-01,female,50-54,250,29.2
Kelantan,2022-01-01,female,55-59,180,15.8
Kelantan,2022-01-01,female,60-64,104,7.2
Kelantan,2022-01-01,female,65+,82,1.8
Kelantan,2022-01-01,male,all,20558,35.4
Kelantan,2022-01-01,male,< 20,271,0.7
Kelantan,2022-01-01,male,20-24,4409,53.2
Kelantan,2022-01-01,male,25-29,9085,155.5
Kelantan,2022-01-01,male,30-34,3418,171.3
Kelantan,2022-01-01,male,35-39,1350,137.3
Kelantan,2022-01-01,male,40-44,669,152.9
Kelantan,2022-01-01,male,45-49,425,168.8
Kelantan,2022-01-01,male,50-54,317,137.3
Kelantan,2022-01-01,male,55-59,275,120.1
Kelantan,2022-01-01,male,60-64,220,84.3
Kelantan,2022-01-01,male,65+,119,11.4
Melaka,2017-01-01,female,all,6742,27.29
Melaka,2017-01-01,female,< 20,195,1.4
Melaka,2017-01-01,female,20-24,1964,52.94
Melaka,2017-01-01,female,25-29,2862,160.53
Melaka,2017-01-01,female,30-34,937,135.6
Melaka,2017-01-01,female,35-39,358,84.04
Melaka,2017-01-01,female,40-44,163,56.48
Melaka,2017-01-01,female,45-49,117,31.13
Melaka,2017-01-01,female,50-54,75,16.83
Melaka,2017-01-01,female,55-59,35,7.08
Melaka,2017-01-01,female,60-64,25,4.43
Melaka,2017-01-01,female,65+,11,0.56
Melaka,2017-01-01,male,all,6769,27.22
Melaka,2017-01-01,male,< 20,57,0.39
Melaka,2017-01-01,male,20-24,1229,29.42
Melaka,2017-01-01,male,25-29,2993,112.73
Melaka,2017-01-01,male,30-34,1330,126.5
Melaka,2017-01-01,male,35-39,493,96.97
Melaka,2017-01-01,male,40-44,260,85.55
Melaka,2017-01-01,male,45-49,123,57.45
Melaka,2017-01-01,male,50-54,99,45.94
Melaka,2017-01-01,male,55-59,83,42.0
Melaka,2017-01-01,male,60-64,47,23.69
Melaka,2017-01-01,male,65+,55,8.26
Melaka,2018-01-01,female,all,6840,27.6
Melaka,2018-01-01,female,< 20,197,1.4
Melaka,2018-01-01,female,20-24,1931,54.6
Melaka,2018-01-01,female,25-29,2821,150.6
Melaka,2018-01-01,female,30-34,1026,145.8
Melaka,2018-01-01,female,35-39,393,87.1
Melaka,2018-01-01,female,40-44,201,69.6
Melaka,2018-01-01,female,45-49,103,28.3
Melaka,2018-01-01,female,50-54,90,19.6
Melaka,2018-01-01,female,55-59,40,7.9
Melaka,2018-01-01,female,60-64,28,4.8
Melaka,2018-01-01,female,65+,10,0.5
Melaka,2018-01-01,male,all,6971,28.0
Melaka,2018-01-01,male,< 20,63,0.4
Melaka,2018-01-01,male,20-24,1173,29.1
Melaka,2018-01-01,male,25-29,3119,112.8
Melaka,2018-01-01,male,30-34,1333,123.4
Melaka,2018-01-01,male,35-39,518,98.6
Melaka,2018-01-01,male,40-44,269,88.2
Melaka,2018-01-01,male,45-49,172,80.3
Melaka,2018-01-01,male,50-54,110,52.0
Melaka,2018-01-01,male,55-59,89,43.7
Melaka,2018-01-01,male,60-64,59,29.0
Melaka,2018-01-01,male,65+,66,9.4
Melaka,2019-01-01,female,all,6867,27.7
Melaka,2019-01-01,female,< 20,207,1.5
Melaka,2019-01-01,female,20-24,1850,55.0
Melaka,2019-01-01,female,25-29,2872,149.1
Melaka,2019-01-01,female,30-34,998,139.1
Melaka,2019-01-01,female,35-39,401,84.4
Melaka,2019-01-01,female,40-44,225,77.1
Melaka,2019-01-01,female,45-49,131,37.5
Melaka,2019-01-01,female,50-54,79,16.9
Melaka,2019-01-01,female,55-59,52,10.1
Melaka,2019-01-01,female,60-64,31,5.1
Melaka,2019-01-01,female,65+,21,1.0
Melaka,2019-01-01,male,all,6826,27.5
Melaka,2019-01-01,male,< 20,77,0.5
Melaka,2019-01-01,male,20-24,1166,30.2
Melaka,2019-01-01,male,25-29,2976,106.0
Melaka,2019-01-01,male,30-34,1307,117.1
Melaka,2019-01-01,male,35-39,531,97.9
Melaka,2019-01-01,male,40-44,293,94.6
Melaka,2019-01-01,male,45-49,165,77.1
Melaka,2019-01-01,male,50-54,98,47.3
Melaka,2019-01-01,male,55-59,90,43.5
Melaka,2019-01-01,male,60-64,51,24.3
Melaka,2019-01-01,male,65+,72,9.9
Melaka,2020-01-01,female,all,6340,25.6
Melaka,2020-01-01,female,< 20,141,1.0
Melaka,2020-01-01,female,20-24,1802,56.0
Melaka,2020-01-01,female,25-29,2700,140.1
Melaka,2020-01-01,female,30-34,875,118.3
Melaka,2020-01-01,female,35-39,345,69.7
Melaka,2020-01-01,female,40-44,176,58.8
Melaka,2020-01-01,female,45-49,115,34.0
Melaka,2020-01-01,female,50-54,77,16.5
Melaka,2020-01-01,female,55-59,51,9.7
Melaka,2020-01-01,female,60-64,29,4.6
Melaka,2020-01-01,female,65+,29,1.3
Melaka,2020-01-01,male,all,6340,25.8
Melaka,2020-01-01,male,< 20,29,0.2
Melaka,2020-01-01,male,20-24,1144,31.1
Melaka,2020-01-01,male,25-29,2878,103.8
Melaka,2020-01-01,male,30-34,1170,101.0
Melaka,2020-01-01,male,35-39,470,85.2
Melaka,2020-01-01,male,40-44,241,76.1
Melaka,2020-01-01,male,45-49,105,49.3
Melaka,2020-01-01,male,50-54,98,47.8
Melaka,2020-01-01,male,55-59,74,35.5
Melaka,2020-01-01,male,60-64,50,23.1
Melaka,2020-01-01,male,65+,81,10.6
Melaka,2021-01-01,female,all,7413,27.9
Melaka,2021-01-01,female,< 20,156,1.0
Melaka,2021-01-01,female,20-24,2168,62.7
Melaka,2021-01-01,female,25-29,3189,154.1
Melaka,2021-01-01,female,30-34,974,122.6
Melaka,2021-01-01,female,35-39,444,83.5
Melaka,2021-01-01,female,40-44,196,61.0
Melaka,2021-01-01,female,45-49,142,39.1
Melaka,2021-01-01,female,50-54,65,13.0
Melaka,2021-01-01,female,55-59,38,6.7
Melaka,2021-01-01,female,60-64,24,3.6
Melaka,2021-01-01,female,65+,17,0.7
Melaka,2021-01-01,male,all,7287,25.0
Melaka,2021-01-01,male,< 20,39,0.2
Melaka,2021-01-01,male,20-24,1465,33.6
Melaka,2021-01-01,male,25-29,3318,100.9
Melaka,2021-01-01,male,30-34,1319,96.0
Melaka,2021-01-01,male,35-39,527,80.5
Melaka,2021-01-01,male,40-44,223,59.4
Melaka,2021-01-01,male,45-49,137,54.2
Melaka,2021-01-01,male,50-54,83,34.1
Melaka,2021-01-01,male,55-59,60,24.3
Melaka,2021-01-01,male,60-64,49,19.1
Melaka,2021-01-01,male,65+,67,7.4
Melaka,2022-01-01,female,all,6920,26.1
Melaka,2022-01-01,female,< 20,142,1.0
Melaka,2022-01-01,female,20-24,1684,48.8
Melaka,2022-01-01,female,25-29,2926,141.6
Melaka,2022-01-01,female,30-34,1089,137.3
Melaka,2022-01-01,female,35-39,483,91.0
Melaka,2022-01-01,female,40-44,244,76.1
Melaka,2022-01-01,female,45-49,146,40.3
Melaka,2022-01-01,female,50-54,82,16.4
Melaka,2022-01-01,female,55-59,69,12.2
Melaka,2022-01-01,female,60-64,30,4.5
Melaka,2022-01-01,female,65+,25,1.0
Melaka,2022-01-01,male,all,6912,23.7
Melaka,2022-01-01,male,< 20,45,0.3
Melaka,2022-01-01,male,20-24,1175,27.0
Melaka,2022-01-01,male,25-29,2966,90.4
Melaka,2022-01-01,male,30-34,1345,98.0
Melaka,2022-01-01,male,35-39,584,89.4
Melaka,2022-01-01,male,40-44,264,70.4
Melaka,2022-01-01,male,45-49,188,74.5
Melaka,2022-01-01,male,50-54,128,52.7
Melaka,2022-01-01,male,55-59,80,32.4
Melaka,2022-01-01,male,60-64,64,25.0
Melaka,2022-01-01,male,65+,73,8.1
Negeri Sembilan,2017-01-01,female,all,8752,30.02
Negeri Sembilan,2017-01-01,female,< 20,329,1.9
